Compound.Name,cumsum_ISnormnorm,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,A1,BB1,BB2,BB3,BB4,BB5,ISOP1,ISOP2,ISOP3,MT1,MT2,MT3,SQT1,SQT2,SQT3,SQT4,SQT5,man_cat1,man_cat1_alternate,man_cat1_certainty,man_cat1_notes
1206_0924_blob_162,0.000100468,NA,NA,NA,NA,NA,NA,-0.370610912,-0.551178879,0.252227139,0.578122417,0.733605163,0.44534153,C7 acid,215,403,2763.809524,NA,"3,4-Dimethoxymandelic acid, di-TMS",745,821,NA,C16H28O5Si2,apin_ox_S_blob_592,251,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_154,0.000137049,NA,NA,NA,NA,NA,NA,-0.263655885,-0.454662458,0.177657365,0.452892106,0.617109952,0.412749813,C7 acid,291,464,1663.803681,NA,Methyl vanillactate bis(trimethylsilyl) ether,721,780,NA,C17H30O5Si2,bcp_ox_L_blob_606,418,462,1678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_1477,4.30E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cholesterol,0,546,3302.325581,3209,"4H-Cyclopropa[5',6']benz[1',2':7,8]azuleno[5,6-b]oxiren-4-one, 8,8a-bis(acetyloxy)-2a-[(acetyloxy)methyl]-1,1a,1b,1c,2a,3,3a,6a,6b,7,8,8a-dodecahydro-6b-hydroxy-3a-methoxy-1,1,5,7-tetramethyl-, [1aR-(1aa,1bﬂ,1ca,2aa,3aa,6aa,6ba,7a,8ﬂ,8aa)]-",600,610,NA,C27H36O10,limonox_L_blob_543,283,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_1442,4.35E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,329,502,2851.020408,NA,"ﬂ-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",604,650,NA,C27H52N2O10Si3,limonox_S_blob_701,342,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_143,6.10E-05,NA,NA,NA,NA,NA,NA,-0.150684103,-0.598388899,0.612889718,0.513809399,0.710114233,0.590490053,C7 acid,260,463,2840.816327,NA,"5-Androsten-3ﬂ-ol-7,17-dione, tri-trimethylsilyl",709,751,NA,C28H50O3Si3,limonox_S_blob_701,284,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_137,5.86E-05,NA,NA,NA,NA,NA,NA,0.637617724,-0.691820102,0.4537824,0.492441652,0.970697069,0.856016198,tridecanal,0,530,1974.324324,1537,"5,10-Diethoxy-2,3,7,8-tetrahydro-1H,6H-dipyrrolo[1,2-a:1',2'-d]pyrazine",800,807,NA,C14H22N2O2,bcp_ox_L_blob_813,279,329,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_1311,5.79E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,334,519,2221.311475,NA,"Milbemycin b, 5-O-demethyl-28-deoxy-6,28-epoxy-25-(1-methylethyl)-13-(methylthio)-, (6R,13R,25R)-",544,555,NA,C34H50O7S,limonox_S_blob_687,365,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_1224,4.86E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta-caryophyllinic acid, TMS",423,583,2070.149254,2060,Di(pentamethylphenyl)ketone,632,643,NA,C23H30O,limonox_S_blob_687,348,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_119,0.000155522,NA,NA,NA,NA,NA,NA,-0.325372426,-0.636582294,0.385217023,0.39110796,0.574633661,0.32801776,"beta-nocaryophyllinic acid, TMS",0,514,2885.714286,2127,"7-Chloro-2,3-dimorpholinophenazine",626,635,NA,C20H21ClN4O2,limonox_L_blob_543,321,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_117,0.000115931,NA,NA,NA,NA,NA,NA,-0.310648346,-0.511769357,0.333346774,0.509174066,0.679662302,0.394682221,syringic acid,0,557,2940.816327,1924,"5-Amino-4-(3,4-dimethoxyphenyl)-2-methyl-6-(2-quinolyl)-3-pyridinemethanol",611,614,NA,C24H23N3O3,limonox_L_blob_543,397,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_1150,6.47E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,352,487,3248.837209,NA,"2-Cyclohexene-1-carboxylic acid, 2-(7-hydroxy-3-methyl-1,3-octadienyl)-1,3-dimethyl-4-oxo-, methyl ester, [R-[R*,S*-(E,E)]]-",605,683,NA,C19H28O4,limonox_S_blob_701,366,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_1143,5.94E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glyceric acid,0,576,2897.959184,1345,"4,13,20-Tri-O-methylphorbol 12-acetate",615,622,NA,C25H36O7,limonox_L_blob_543,342,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_1122,4.78E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Longifolene,0,547,2760,1442,"1,2,4,5,6,6a,7,11b-Octahydro-6-hydroxy-9-methoxy-6,11b-dimethyl-3H-benz[de]anthracen-3-one",674,702,NA,C20H24O3,limonox_S_blob_934,0,601,1824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_111,8.58E-05,NA,NA,NA,NA,NA,NA,-0.536258418,-0.489368617,0.564311013,0.093512953,0.281861372,0.088584691,C7 acid,263,458,1958.108108,NA,"5-hydroxy-7-methoxyflavanone, tert.-butyldimethylsilyl ether",736,739,NA,C22H28O4Si,limonox_S_blob_687,310,529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_1105,9.14E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monostearin TMS,367,440,2782.857143,2788,"Milbemycin b, 5-O-demethyl-28-deoxy-6,28-epoxy-25-(1-methylethyl)-13-(methylthio)-, (6R,13R,25R)-",586,604,NA,C34H50O7S,limonox_S_blob_701,329,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_1071,5.81E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,beta-sitosterol,0,543,3117.777778,3406,Ethyl iso-allocholate,615,631,NA,C26H44O5,limonox_L_blob_543,399,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_1025,5.48E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,312,514,2763.809524,NA,"ﬂ-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",616,653,NA,C27H52N2O10Si3,limonox_S_blob_701,329,533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_1020,7.31E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,284,450,2816.326531,NA,"Milbemycin b, 5-O-demethyl-28-deoxy-6,28-epoxy-25-(1-methylethyl)-13-(methylthio)-, (6R,13R,25R)-",589,610,NA,C34H50O7S,limonox_S_blob_687,325,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1206_0924_blob_102,0.000680394,0.148041771,0.57765603,-0.499167359,0.082998192,-0.051931605,0.157990167,-0.057147979,-0.383583263,0.04223393,0.721018023,0.898928869,0.759107478,C7 acid,554,625,2985.714286,NA,"Pentacosanoic acid, trimethylsilyl ester",823,825,2923,C28H58O2Si,limonox_S_blob_687,519,592,NA,-0.400460262,0.218726798,NA,0.528853915,0.056983126,-0.104560716,0.490987262,0.61317343,0.580854179,-0.100691186,0.026090219,-0.140705965,NA,0.545385364,-0.143587247,0.699476775,0.040793724,NYC,,,
1206_0924_blob_101,0.000390639,-0.079254402,-0.115831686,-0.154913001,0.034376161,-0.037827113,-0.156465441,-0.332388892,-0.293618121,-0.009043106,0.481588553,0.591405988,0.37580934,ketopinic acid,538,538,1530.38674,1530,"Pyruvic acid, TMS derivative",694,798,NA,C6H12O3Si,apin_ox_L_blob_588,596,603,1530,-0.94726007,0.397363158,NA,0.395208103,0.399330426,0.154034923,0.060972057,-0.094030076,0.025955131,0.03523353,0.23053168,-1,NA,0.613414535,0.301516884,-0.022233578,0.037015249,NYC,,,
1205_0335_blob_80,1.49E-05,NA,NA,NA,NA,NA,NA,-0.938860383,-0.946877975,0.929913279,0.805390907,0.940894866,0.82017097,C7 acid,515,574,1732.926829,NA,"ﬂ-D-Galactopyranoside, methyl 2,4-bis-O-(trimethylsilyl)-, diacetate",644,756,NA,C17H34O8Si2,myrc_ox_L_blob_606,539,554,1723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1205_0335_blob_1042,0.000536378,-0.164251692,0.408386605,-0.721758077,-0.574267277,-0.32346618,-0.446665,-0.29563213,-0.51882537,0.191667226,0.741362812,0.838590907,0.719415337,a-Amyrin,136,749,3415.384615,3479,"4,4,6a,6b,8a,11,11,14b-Octamethyl-1,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,14,14a,14b-octadecahydro-2H-picen-3-one",783,793,NA,C30H48O,limonox_S_blob_633,309,436,NA,0.276043585,0.441484015,NA,0.949256235,0.687175696,-0.004035249,0.301590222,0.662986632,0.514352843,-0.295055734,0.152155252,0,NA,-1,-0.520171723,-0.718630124,-0.007156344,NYC,,,
1202_1412_blob_997,0.000785215,0.79579351,0.459487528,0.435860851,0.285152528,0.626072702,0.061877035,0.333350739,0.315387774,-0.135679925,0.020698582,-0.011561942,-0.294835319,C7 acid,435,543,1809.395973,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",735,757,NA,C14H31BO6Si2,limonox_S_blob_671,631,689,1817,0.428846538,0.671390215,NA,0.385766212,0.371738183,0.750658559,0.657867204,0.628332432,0.626715054,0.748062881,0.515303126,0.458447162,NA,0.810568878,0.732355608,0.569722432,0.773323755,NYC,,,
1202_1412_blob_994,0.000568216,0.662002758,0.193890263,0.456708544,0.209850581,0.566186714,-0.054617279,-0.285940132,0.133673604,0.175827076,0.091224598,0.127385117,-0.126595721,"beta-nocaryophyllinic acid, TMS",608,618,2122.962963,2127,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",643,704,NA,C18H34OSi,limonox_S_blob_905,537,621,2120,0.313972704,0.479857338,NA,0.033040326,0.194291286,0.628916638,0.534761297,0.482313229,0.569824958,0.680011613,0.434421792,0.316760467,NA,0.539084314,0.550227699,0.407191749,0.673754696,NYC,,,
1202_1412_blob_990,0.000294836,0.492785768,0.403568716,0.067243857,0.561232051,0.583409683,0.187991345,0.189950679,0.270784498,0.118058668,0.890073745,0.607806515,0.699079907,"beta-caryophyllonic acid, TMS",578,686,1943.624161,1931,"6-Hydroxy-1-oxogermacr-4,10(15),11(13)-trien-12,8-olide",641,738,NA,C15H18O4,bcp_ox_L_blob_678,584,656,1959,-0.068702267,0.767724646,NA,0.351255003,0.407702418,0.611296097,0.343393054,0.208998715,0.241006607,0.310446154,0.081968104,-0.016219953,NA,0.834853383,0.373203383,0.557127354,0.578462661,NYC,,,
1202_1412_blob_987,0.000345033,0.155635687,0.09904758,0.222768272,0.20767441,0.406970178,0.109898521,0.124909528,0.54636412,0.624973089,0.010908224,-0.017337317,0.215841679,beta-caryophyllene aldehyde,628,668,1721.212121,1715,"5,6,6-Trimethyl-5-(3-oxobut-1-enyl)-1-oxaspiro[2.5]octan-4-one",757,776,NA,C14H20O3,limonox_S_blob_646,573,602,1711,0.064972275,0.378346728,NA,-0.189584179,0.261924991,0.546698828,0.137368365,0.065952163,0.027828161,0.308820792,0.360166324,-0.073183746,NA,0.612406885,-0.102363513,0.449191317,0.739089945,NYC,,,
1202_1412_blob_969,0.000112667,0.636963065,-0.027350762,0.494858832,0.339566092,0.632382392,0.006377631,0.348783649,-0.397222392,-0.675920418,-0.407347729,-0.22015276,-0.277951571,C7 acid,408,536,1749.090909,NA,"Dodecanoic acid, 1a,2,5,5a,6,9,10,10a-octahydro-5,5a-dihydroxy-4-(hydroxymethyl)-1,1,7,9-tetramethyl-11-oxo-1H-2,8a-methanocyclopenta[a]cyclopropa[e]cyclodecen-6-yl ester, [1aR-(1aa,2a,5ﬂ,5aﬂ,6ﬂ,8aa,9a,10aa)]-",642,642,NA,C32H50O6,limonox_L_blob_547,560,601,1746,0.374177952,0.517554401,NA,0.305490449,0.202404241,0.819737991,0.398518696,0.330346649,0.277715911,0.702634861,0.382321698,0.246309733,NA,0.802051652,0.816564268,0.941395731,0.787261108,NYC,,,
1202_1412_blob_961,0.000411143,0.362795841,0.003905543,0.629513264,0.253168578,0.453755552,0.154065199,0.472339607,0.506937962,-0.227576185,-0.182241727,0.091543112,-0.297753351,farnesol,472,515,1828.187919,1832,"a-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",636,655,NA,C14H31BO6Si2,apin_ox_S_blob_616,612,663,1823,0.373835786,0.256599933,NA,0.760315776,0.27748287,0.63814064,0.051156169,-0.02949758,0.100360402,0.797700917,0.310038134,0.315437498,NA,1,0.634782889,0,0.383611571,NYC,,,
1202_1412_blob_954,1.49E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,263,264,1344.327468,NA,"1,2-Benzenedicarboxylic acid",911,913,1643,C8H6O4,bcp_ox_L_blob_714,327,327,1337,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,,,
1202_1412_blob_944,0.000308071,0.706334104,0.708941606,0.249960648,0.289110764,0.40088382,0.257887559,0.156376442,0.283090068,0.162133526,0.007390848,0.403114959,0.337264968,C9 Diacid (azelaic acid),470,569,1816.107383,1822,"a-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",696,718,NA,C27H52N2O10Si3,apin_ox_L_blob_532,578,671,1821,0.438816824,0.544417445,NA,0.277722778,0.316721993,0.740769784,0.704428442,0.692286347,0.736182041,0.407022179,0.320732443,0.492576065,NA,0.896587137,0.721939535,0.883796914,0.64370323,NYC,,,
1202_1412_blob_937,0.000124538,0.688015278,0.588710563,0.27255014,0.280622327,0.492854072,-0.117127228,NA,NA,NA,NA,NA,NA,"beta-caryophyllonic acid, TMS",578,616,1931.543624,1931,"10,12,14-Nonacosatriynoic acid",669,672,NA,C29H46O2,limonox_S_blob_847,603,683,1925,0.367401694,0.675066417,NA,0.422766374,0.38293437,0.761831864,0.640824439,0.609481378,0.556058844,0.749319539,0.651525608,0.135507323,NA,0.809029697,0.713465939,0.327009205,0.824279003,NYC,,,
1202_1412_blob_930,0.00083277,0.721627348,0.503226876,0.596934061,0.302337685,0.631269715,0.161409293,0.42027837,0.735173962,-0.1412497,-0.168666068,0.199799073,-0.292659103,C7 acid,427,568,1893.959732,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",749,796,NA,C13H26BNO6Si,limonox_S_blob_725,706,779,1893,0.581967744,0.621431764,NA,0.375108906,0.359073535,0.808114043,0.615664146,0.587698857,0.517186683,0.786367036,0.606282183,0.47828786,NA,0.591250063,0.83505707,0.808184445,0.737024405,NYC,,,
1202_1412_blob_924,0.000368601,0.392587599,0.590441947,0.528389948,-0.249627762,0.269586347,-0.183882968,0.273670192,0.350315329,-0.195787369,-0.208074749,0.02471033,-0.123082834,C7 acid,438,531,1591.256831,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",624,645,NA,C15H30O4Si,myrc_ox_L_blob_754,662,702,1588,0.661150364,-0.075047456,NA,0.688807698,0.243285677,0.594667792,0.410388951,0.492290772,0.493137181,0.681234716,0.713673379,0.461032182,NA,0.091599019,0.598876038,0.915593789,0.557155299,NYC,,,
1202_1412_blob_920,0.000431184,0.317007291,0.434875357,0.19203096,0.2724428,0.338575357,-0.036446782,0.502247256,0.547611662,-0.207050964,-0.162932334,-0.186605774,-0.331512591,MBTCA,423,559,1790.30303,1776,"ﬂ-D-Galactopyranoside, methyl 2,6-bis-O-(trimethylsilyl)-, cyclic methylboronate",708,739,NA,C14H31BO6Si2,myrc_ox_L_blob_687,666,711,1796,0.775679893,0.434085529,NA,0.831707355,0.742188367,0.636046479,0.384582266,0.403693172,0.43169655,0.452507779,0.373610298,0.741827901,NA,0.214591267,0.38919888,0.702068077,0.224949473,NYC,,,
1202_1412_blob_910,0.000388116,0.539548314,0.574225348,0.126888031,0.190212416,0.460137022,-0.059222001,0.416295662,-0.028970506,-0.117169422,0.253178741,0.042769483,0.172703336,C7 acid,431,530,1853.691275,NA,i-Propyl 12-methyl-tridecanoate,670,789,NA,C17H34O2,limonox_S_blob_823,600,665,1843,0.565939535,0.53070609,NA,0.553577531,0.590195053,0.674199984,0.713990278,0.710427444,0.811021675,0.504165827,0.498162827,0.632821723,NA,0.624019818,0.104488125,0.539006703,0.64229198,NYC,,,
1202_1412_blob_908,0.000472792,0.44362475,0.509828473,0.32551933,0.310088078,0.440924822,0.222334662,0.356258624,0.532590182,-0.032786435,0.206560831,0.204140801,-0.091883386,C7 acid,407,543,1857.718121,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",681,720,NA,C13H26BNO6Si,limonox_S_blob_823,588,695,1843,0.498549924,0.638498604,NA,0.71523734,0.527368336,0.760666679,0.401976207,0.341959651,0.323026405,0.43978225,0.364608571,0.417529321,NA,0.780054406,0.593291068,0.884585261,0.641482134,NYC,,,
1202_1412_blob_901,0.000121801,-0.021892432,0.958501733,-0.72414361,0.833208343,-0.363545262,-0.318485791,0.637171763,0.64798093,-0.697942364,-0.043686211,0.378673852,-0.542551253,C9 Diacid (azelaic acid),449,526,1813.422819,1822,"a-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",626,650,NA,C14H31BO6Si2,apin_ox_L_blob_532,640,672,1821,0.721148961,0.85858795,NA,0.922192055,0.936775164,0.734874012,0.542067626,0.71322236,0.849283648,-0.019921443,-0.584347532,0.805538071,NA,0.647541417,-0.17200476,0,0.515753508,NYC,,,
1202_1412_blob_895,0.000796035,0.716945545,0.44758861,0.58060163,0.405878755,0.754582498,0.085158249,0.775494326,-0.180351453,-0.041312313,0.448604121,0.075473882,0.006641654,"beta-caryophyllonic acid, TMS",592,634,1935.57047,1931,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",773,802,NA,C13H26BNO6Si,limonox_L_blob_589,601,632,1928,0.561860746,0.714762165,NA,0.192999236,0.415050569,0.841419997,0.544574052,0.537739078,0.469499649,0.807814499,0.615727505,0.504235708,NA,0.52729026,0.736290238,0.473794691,0.714228905,NYC,,,
1202_1412_blob_889,2.49E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C10 diacid (sebacic acid),583,608,1919.463087,1922,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",657,665,NA,C14H31BO6Si2,limonox_S_blob_847,520,586,1925,0,1,NA,0,0,1,1,1,1,1,1,0,NA,0,0,0,1,NYC,,,
1202_1412_blob_888,0.000892987,0.694725608,0.535357194,0.514647112,0.268287709,0.705866637,0.085934165,NA,NA,NA,NA,NA,NA,C10 diacid (sebacic acid),563,591,1920.805369,1922,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",759,780,NA,C14H31BO6Si2,limonox_S_blob_847,626,707,1925,0.736768256,0.663843549,NA,0.640545774,0.605709363,0.862993497,0.650771623,0.635969982,0.570285984,0.83617039,0.77396688,0.609886329,NA,0.501553543,0.643745931,0.491616184,0.782320577,NYC,,,
1202_1412_blob_887,0.000405028,0.787251467,0.284405435,0.553634284,0.233540754,0.618842596,0.186305657,0.510339282,0.563872185,-0.12818176,-0.070919399,0.201184951,-0.387528094,C7 acid,433,575,1895.302013,NA,"a-D-Galactopyranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,4-bis(butylboronate)",683,728,NA,C17H34B2O6Si,limonox_S_blob_725,695,760,1893,0.179205754,0.498015473,NA,-0.150844285,0.120921166,0.648816945,0.560696692,0.499458371,0.351771418,0.803407735,0.625013089,0.11568818,NA,0.542125494,0.724637903,0.864016652,0.668815618,NYC,,,
1202_1412_blob_884,0.000335783,0.557543029,0.326397185,0.661315394,-0.049739317,0.379541825,-0.200682607,0.302375664,0.491183894,-0.109479923,-0.032904042,-0.025481209,-0.249200858,pinic acid 2,511,639,1710.30303,1697,"2-Isopropyl-3-ketobutyrate, bis(O-trimethylsilyl)-",652,716,NA,C13H28O3Si2,myrc_ox_L_blob_709,655,715,1709,0.75627734,0.168435616,NA,0.483035409,0.282447543,0.737479565,0.504351296,0.505385881,0.41856538,0.731010534,0.764023315,0.578772592,NA,0.200491535,0.716450995,0.928353741,0.701704628,NYC,,,
1202_1412_blob_881,0.000784139,0.615163098,0.498661269,0.393673832,0.083140834,0.332341205,0.008072493,0.339707439,0.697677596,-0.526668611,-0.301801031,0.332367099,-0.5748209,farnesol,534,627,1832.214765,1832,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",731,757,NA,C13H26BNO6Si,limonox_S_blob_754,686,734,1831,0.810814142,0.35211195,NA,0.629727747,0.443628228,0.62571901,0.662326884,0.649656855,0.588991445,0.621849424,0.511660615,0.752206635,NA,0.364226566,0.635284882,0.419709766,0.380260418,NYC,,,
1202_1412_blob_863,0.000132125,0.413636961,0.041635001,0.378093342,-0.009224546,0.350501084,-0.077398503,0.180923294,0.485026648,-0.172443193,-0.216084878,0.517807299,-0.195765902,"2-Ketoglutaric acid, tri-TMS",476,624,1641.212121,1629,"cis-1,4-Cyclohexanedicarboxylic acid, bis(trimethylsilyl) ester",657,671,NA,C14H28O4Si2,myrc_ox_L_blob_649,607,669,1644,0.362115423,0.067805,NA,0.480223045,0.28816693,0.705291182,0.336858353,0.359113003,0.244995234,0.906893577,0.471175515,0.259836093,NA,0.898407877,0.552016687,0,0.4810057,NYC,,,
1202_1412_blob_844,0.000828109,0.461977597,0.456264878,0.244929171,0.277493367,0.343067738,0.086581316,0.509737679,0.572198945,-0.180612052,-0.481855289,-0.155558022,-0.436960898,C9 Diacid (azelaic acid),584,661,1821.47651,1822,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",751,763,NA,C14H31BO6Si2,limonox_S_blob_671,622,694,1817,-0.040899811,0.57780692,NA,0.419449096,0.364739587,0.613043264,0.360342069,0.353591964,0.385674478,0.461798324,0.209045653,-0.128314456,NA,0.985933575,0.433639023,0.768329167,0.747047419,NYC,,,
1202_1412_blob_817,0.001279247,0.509484503,0.176424477,0.412719637,0.218410773,0.448250568,0.165986844,-0.022087269,-0.282605048,0.070804772,0.432506638,0.709524274,0.491244945,C7 acid,335,554,1965.100671,NA,"1,2-Ethanediol, 1,2-dimyrtenyl-, 2TMS derivative",583,768,NA,C26H46O2Si2,bcp_ox_L_blob_678,495,557,1959,0.111737409,0.571331812,NA,0.144148412,0.078078469,0.677761871,0.2390095,0.249303233,0.078870131,0.474872668,0.123650139,0.029191592,NA,0.790261046,0.705258306,0.703553221,0.681994299,SQ,BB,H,good corr across board with SQ tracers
1202_1412_blob_804,0.000514932,0.569991416,0.155685487,0.672430121,-0.166991932,0.438051499,-0.191403416,0.417350892,0.398120871,0.013983788,-0.193400994,-0.079094388,-0.31393685,"2-Ketoglutaric acid, tri-TMS",538,592,1635.151515,1629,"Trimethylsilyl 3,5-bis(trimethylsilyloxy)-3-methylvalerate",707,733,NA,C15H36O4Si3,myrc_ox_L_blob_613,617,668,1627,0.68564415,0.052448454,NA,0.254425975,0.02965307,0.706344044,0.48988574,0.513148976,0.479489943,0.851104792,0.751889113,0.539634835,NA,0.322031409,0.706114894,0.996313584,0.782846152,NYC,,,
1202_1412_blob_794,0.000409449,0.639194888,0.476225726,0.448096067,-0.008008457,0.334044655,-0.139253176,0.453452336,0.66720458,-0.336235242,-0.157612048,0.171882773,-0.30343593,C7 acid,395,544,1805.369128,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",689,700,NA,C14H31BO6Si2,limonox_S_blob_671,613,705,1817,0.723336319,0.257758493,NA,0.343459003,0.245609721,0.658302421,0.624058552,0.620050434,0.533421574,0.649996477,0.671574669,0.569459594,NA,0.274620435,0.648458084,0.933192312,0.65624802,NYC,,,
1202_1412_blob_785,0.000441174,0.490318672,0.680897115,0.429910297,0.280490522,0.43880424,0.066672101,0.009065732,-0.315721098,-0.227639568,-0.106741925,0.285794249,0.217830587,C7 acid,429,577,1738.181818,NA,"Bicyclo[2.2.1]heptane-1-carboxylic acid, 7-[(trimethylsilyl)oxy]-, methyl ester",613,716,NA,C12H22O3Si,apin_ox_S_blob_633,751,796,1734,0.58048085,0.672526344,NA,0.826698554,0.719575926,0.783420955,0.486957985,0.487041777,0.427466327,0.672773832,0.574991414,0.5369003,NA,0.61489392,0.409672577,0.671885977,0.708994587,NYC,,,
