Compound.Name,cumsum_ISnormnorm,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,A1,BB1,BB2,BB3,BB4,BB5,ISOP1,ISOP2,ISOP3,MT1,MT2,MT3,SQT1,SQT2,SQT3,SQT4,SQT5,man_cat2,man_cat2_alternate,man_cat2_certainty,man_cat2_notes,man_cat1,man_cat1_alternate,man_cat1_certainty,man_cat1_notes
1202_1412_blob_1163,0.000553375,0.088643331,0.215797194,-0.093749658,-0.085928625,-0.09138652,-0.103989364,-0.108923966,0.084830506,0.622163249,0.700733115,0.673322336,0.269800289,C7 acid,528,663,2040,NA,"10,12-Docosadiynedioic acid, 2TMS derivative",678,695,NA,C28H50O4Si2,506,myrc_ox_L_blob_548,498,741,2075,0.018331299,0.8819476,NA,0.771320289,0.841874474,0.933750123,0.50179206,0.423780166,0.298622052,0.201395273,0.783489967,0.229851568,0,NA,0,0.651599972,0.455290699,A,,,,,,,
1202_1412_blob_1161,0.000145918,0.006927353,0.649326016,0.580993149,0.439416584,0.586031596,0.221514583,NA,NA,NA,NA,NA,NA,"beta-caryophyllinic acid, TMS",542,674,2066.666667,2060,"3,4,7,8-Tetraazatricyclo[4.2.2.0(1,5)]dec-9-ene-3,4:7,8-bis(N-methyldicarboximide), 2,2-diphenyl-",626,637,NA,C24H20N6O4,456,myrc_ox_L_blob_548,418,477,2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1202_1412_blob_1157,6.50E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,423,534,1897.986577,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",664,671,NA,C14H31BO6Si2,362,limonox_S_blob_725,625,662,1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1202_1412_blob_1152,9.97E-05,0.346325359,0.340658181,0.053675633,-0.038336575,-0.00694411,-0.0759838,NA,NA,NA,NA,NA,NA,"beta-caryophyllonic acid, TMS",517,663,1946.308725,1931,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",766,802,NA,C13H26BNO6Si,331,bcp_ox_L_blob_678,629,690,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1202_1412_blob_1125,8.67E-05,0.572422846,0.131846388,0.25405309,0.219091984,0.506833416,-0.271918074,-0.155585114,0.867854762,-0.089701118,0.406234624,0.73980577,-0.889844388,C7 acid,357,503,1808.053691,NA,"Ethylmethylmalonic acid, bis(trimethylsilyl) ester",634,707,NA,C12H26O4Si2,290,myrc_ox_L_blob_640,591,626,1816,-0.836703637,0.983733337,NA,0.994325578,1,0.959447608,0.926925642,0.937806827,0.475333149,0.899723819,0.846548292,0.958235796,0,NA,0.99859642,0,0.976902503,NYC,,,,,,,
1202_1412_blob_1120,0.000405339,0.51819234,0.613627297,0.111088627,0.182617331,0.336799459,0.091648942,0.282455077,0.433539792,0.046289825,-0.013896215,0.269358752,0.023106455,farnesol,563,623,1829.530201,1832,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",710,729,NA,C14H31BO6Si2,362,apin_ox_S_blob_616,622,701,1823,0.022293982,0.477172195,NA,0.609149847,0.402917095,0.631325361,0.625339591,0.606078607,0.331972877,0.686680895,0.580177175,0.075385604,0,NA,-1,1,0.513302326,NYC,,,,,,,
1202_1412_blob_1108,0.000627842,0.771153885,0.483220981,0.406613936,0.24836336,0.565098404,0.018812966,-0.115488249,0.22825579,-0.059916229,0.034783168,0.18912492,-0.04500013,C7 acid,441,570,2011.851852,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",722,774,NA,C13H26BNO6Si,331,limonox_S_blob_788,464,669,1989,-0.300299998,0.193150856,NA,0.275807239,0.229327086,0.448339592,0.370817296,0.55629589,-0.031004292,0.465365478,0.312971882,-0.273695532,0,NA,1,0.649054206,0.15929244,NYC,,,,,,,
1202_1412_blob_1106,4.76E-05,NA,NA,NA,NA,NA,NA,0.81693589,0.15577336,-0.51561859,-0.645317247,0.1937435,-0.31358122,"beta-nocaryophyllinic acid, TMS",471,497,2121.481481,2127,"2-2'-Diphenic acid, di(trimethylsilyl) ester",681,777,NA,C20H26O4Si2,386,limonox_S_blob_905,474,683,2120,-0.268930506,0.410009731,NA,0.457113893,-0.531112912,0.872537986,0.849045064,0.865361896,0.915026354,0.813785671,0.180584414,-0.117579089,0,NA,0,0,0.898945803,NYC,,,,,,,
1202_1412_blob_1098,0.000400712,0.574026361,0.647067412,0.247661202,0.211790123,0.364747678,0.067472335,NA,NA,NA,NA,NA,NA,"beta-caryophyllonic acid, TMS",518,627,1919.463087,1931,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",732,759,NA,C13H26BNO6Si,331,limonox_S_blob_847,603,673,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1202_1412_blob_1090,1.35E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C10 diacid (sebacic acid),424,490,1914.09396,1922,"t-Butyl-(2-[3-(2,2-dimethyl-6-methylene-cyclohexyl)-propyl]-[1,3]dithian-2-yl)-dimethyl-silane",613,632,NA,C22H42S2Si,398,limonox_S_blob_716,535,565,1911,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
1202_1412_blob_1087,0.000205118,0.496249149,0.283154526,0.401409704,0.063951302,0.338452833,-0.070307147,-0.405092627,0.955796437,0.573788295,-0.24750145,0.897873167,-0.455501754,"beta-caryophyllinic acid, TMS",498,664,2044.444444,2060,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",710,745,NA,C13H26BNO6Si,331,limonox_S_blob_687,444,584,NA,0.342766712,0.803907789,NA,0.991945642,1,0.995160873,0.995744962,0.999999993,0.217548588,0.96205303,0.971951104,0.692062383,0,NA,0,0,0.886915194,NYC,,,,,,,
1202_1412_blob_1076,8.21E-05,0.498474649,-0.080332552,0.536138723,0.059102316,0.470730062,0.268231321,0.884613404,0.828398502,-0.437415134,0.988008378,0.808226734,-0.812770487,C7 acid,427,558,1792.727273,NA,"5,8-Dihydroxy-4a-methyl-3,4,4b,5,6,7,8,8a,9,10-decahydrophenanthren-2-one, 2TMS derivative",644,660,NA,C21H38O3Si2,394,apin_ox_S_blob_708,650,737,1784,0.866675415,0.998639474,NA,0.976806653,0,0.947404074,0.816198737,0.88632262,0.982072341,0.793636943,0.976930758,0.868684885,0,NA,1,0,0.985129112,NYC,,,,,,,
1202_1412_blob_1073,0.000153811,0.373455692,0.506011063,-0.038796564,0.263095809,0.40495471,0.169959568,NA,NA,NA,NA,NA,NA,galactosan,511,553,1688.484848,1684,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",673,699,NA,C16H37BO6Si3,420,limonox_L_blob_554,606,659,1678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1202_1412_blob_1067,0.00028441,0.747427039,0.465776469,0.305489761,0.033491398,0.344655289,0.069582371,NA,NA,NA,NA,NA,NA,C7 acid,407,498,1907.38255,NA,Ethyltrimethylsilyl dipropylmalonate,645,691,NA,C14H28O4Si,288,limonox_S_blob_814,606,690,1899,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
1202_1412_blob_1066,0.00022452,0.508682801,0.326114165,0.670829158,0.237242276,0.630540373,0.40428127,0.366630476,0.730720837,-0.241902046,0.190726823,-0.0605139,-0.310185407,farnesol,466,542,1836.241611,1832,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",662,678,NA,C13H26BNO6Si,331,limonox_S_blob_705,618,689,1829,0.242097142,0.255532866,NA,0.44755037,0.325195051,0.69134936,0.561052122,0.66568783,0.475134215,0.871688793,0.639803382,0.4226313,0,NA,1,0.976657412,0.437712713,NYC,,,,,,,
1202_1412_blob_1064,0.000759185,0.588449183,0.282554169,0.583841671,0.423112211,0.750509964,0.306760832,0.140773166,0.698686056,-0.481512409,-0.573215113,0.082405587,-0.861836927,farnesol,555,630,1836.241611,1832,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",745,761,NA,C14H31BO6Si2,362,limonox_S_blob_823,664,756,1843,0.484225754,-0.253280078,NA,0.569069488,0.344489505,0.64873115,0.520826532,0.610874754,0.699285761,0.657944592,0.737633663,0.740851545,0,NA,1,0,0.528604455,NYC,,,,,,,
1202_1412_blob_1054,9.64E-05,0.842696683,0.096431556,0.319218613,0.198346836,0.49410864,-0.17254888,0.266210808,0.688049158,-0.522971454,-0.156796384,-0.22221933,-0.996665464,C9 Diacid (azelaic acid),392,558,1808.053691,1822,"Acetopyruvic acid, tris(trimethylsilyl)-",629,687,NA,C14H30O4Si3,346,myrc_ox_L_blob_640,600,673,1816,0.855063717,-0.22475296,NA,0.511650054,1,0.189908233,0.171240407,0.334905697,0.729521667,0.417768144,0.470967725,0.983535865,0,NA,0,0,0.601991897,NYC,,,,,,,
1202_1412_blob_1051,0.000177049,0.587048433,0.465317309,0.315704816,0.169721606,0.513784147,0.208797736,0.287639392,0.609068789,-0.194068523,-0.073445137,0.279386339,-0.264527688,mannosan,473,516,1711.515152,1706,"4,6-Diketooctanoic acid,O,O'- bis(trimethylsilyl)",640,646,NA,C14H28O4Si2,316,limonox_S_blob_648,631,651,1709,0.029109257,0.336110784,NA,0.544885638,0.440391694,0.607698789,0.665367732,0.684700305,0.303996201,0.885783124,0.415934251,0.234439016,0,NA,-1,0.746025493,0.516886611,NYC,,,,,,,
1202_1412_blob_1044,0.000947763,0.64641932,0.582863338,0.510719909,0.250851591,0.602689936,0.040050306,0.276477221,0.420045649,0.551647635,0.165135946,0.084194398,-0.387080907,C7 acid,445,576,1953.020134,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",759,800,NA,C13H26BNO6Si,331,limonox_S_blob_685,646,728,1963,0.712456201,0.630119328,NA,0.58190391,0.503622766,0.798955767,0.214226933,0.38129184,0.652738926,0.256847749,0.617826545,0.578687159,0,NA,1,0.563496756,0.789751119,NYC,,,,,,,
1202_1412_blob_1038,0.000227491,0.387329453,0.362877219,0.59557305,0.167118202,0.41978454,-0.097658486,0.217242304,0.437484974,-0.214704914,-0.119474329,0.107334072,-0.642891134,phthalic acid,498,687,1715.151515,1714,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",679,709,NA,C13H26BNO6Si,331,limonox_S_blob_775,638,710,1722,0.600848334,0.307753881,NA,0.624224373,0.533244845,0.773298318,0.554149916,0.628355196,0.721791703,0.675225061,0.215158758,0.799198742,0,NA,1,0,0.709652547,NYC,,,,,,,
1202_1412_blob_1033,0.00029307,0.39690096,0.419934972,-0.032565351,0.005638341,0.136469988,-0.138894382,NA,NA,NA,NA,NA,NA,octadecanal,657,704,2056.296296,2056,"Ethanol, 2-(9-octadecenyloxy)-, (Z)-",729,751,NA,C20H40O2,312,bcp_ox_L_blob_609,557,602,2064,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
1202_1412_blob_1021,0.000600949,0.477180811,0.520858077,0.036719296,0.066420239,0.184879221,-0.017155902,0.396785925,-0.000108863,0.032161161,0.40715043,0.481912315,0.387823721,C7 acid,543,670,1940.939597,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",671,687,NA,C13H26BNO6Si,331,limonox_S_blob_706,511,534,1947,-0.035092379,0.727871601,NA,0.632777436,0.654149025,0.585264118,0.353452896,0.362660968,0.135747125,0.203907305,0.359947071,0.001125365,0.222203883,NA,0.981961055,0.62428839,0.169418908,NYC,,,,,,,
1202_1412_blob_1018,0.000877461,0.742102143,0.575023471,0.481017055,0.191550596,0.517591708,0.000295514,0.839127756,-0.012367147,0.354625026,-0.256141114,0.45699038,-0.150086037,C7 acid,467,581,1795.151515,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",730,753,NA,C13H26BNO6Si,331,limonox_L_blob_644,615,677,1808,0.659150644,0.491080834,NA,0.614181231,-0.152080633,0.087810286,0.04170923,0.237841468,0.546152799,-0.196127023,-0.959707182,0.726430103,0,NA,0,0,-0.033645376,NYC,,,,,,,
1202_1412_blob_1013,0.00042147,0.226911018,0.266143271,-0.117254469,0.250880853,0.087146381,-0.332336816,0.437235735,0.723793435,-0.306910942,-0.335093221,-0.161520573,-0.459182998,"2-Ketoglutaric acid, tri-TMS",483,531,1635.151515,1629,"1,3-Dioxolane-4-prop-2-enoic acid, 2,2-dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)propyl]-, methyl ester",596,619,NA,C18H34O6Si,374,myrc_ox_L_blob_613,639,665,1627,0.29888219,0.044399524,NA,0.214424055,-0.058189418,0.711840198,0.756374144,0.848902022,0.443321603,0.913320211,0.599140555,0.471603337,0.775467786,NA,0.368101929,0.09489447,0.645161387,NYC,,,,,,,
1202_1412_blob_1,0.312176877,0.52256062,0.421641938,0.317884343,0.688232953,0.707391512,0.250675701,0.123956356,-0.282772693,0.159948701,0.771230661,0.942298127,0.763732608,levoglucosan,940,940,1727.272727,1726,"Levoglucosan, 3TMS derivative",827,907,1694,C15H34O5Si3,378,apin_ox_L_blob_553,545,564,1726,-0.116160474,1,NA,0.780693299,0.864825977,0.83002383,0.225198051,0.230204181,-0.006321563,-0.04802253,0.040088484,-0.114477999,0.404226155,NA,0.627108793,0.203547502,0.1861401,BB,,H,is_tracer,BB,,H,is tracer
1202_0046_blob_999,0.000455625,0.457027614,0.404296256,0.554894602,0.17465432,0.485933196,0.037036429,NA,NA,NA,NA,NA,NA,C7 acid,442,566,1809.459459,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",736,769,NA,C13H26BNO6Si,331,limonox_S_blob_671,634,683,1817,1,-1,NA,-1,0,1,1,1,1,1,-1,1,0,NA,0,0,1,NYC,,,,,,,
1202_0046_blob_978,0.000296682,0.749585706,0.439229736,0.680251517,0.474969333,0.778491706,0.236860576,0.04694996,0.218621705,0.393023211,0.119109903,0.216132995,0.284959468,C7 acid,439,559,2100,NA,"Prosta-5,13-dien-1-oic acid, 9,11-epidioxy-15-[[(4-methylphenyl)sulfonyl]oxy]-, methyl ester, (5Z,9a,11a,13E,15S)-",634,662,NA,C24H42O5Si,438,limonox_S_blob_1216,513,645,2098,-0.030957368,0.452490673,NA,0.661562888,0.862368739,0.504112251,0.23575325,0.251479014,0.046598513,0.368478025,0.667342412,0.065885563,0,NA,0,0.830144516,0.172025428,NYC,,,,,,,
1202_0046_blob_976,0.000449416,0.694039019,0.504115608,0.452719514,0.67107422,0.783658281,0.246671033,0.209958587,0.044099157,-0.293003799,-0.028812653,0.391345045,0.278054301,C7 acid,393,559,1808.108108,NA,"13-Retinoic acid, (Z)-, TMS derivative",625,626,NA,C23H36O2Si,372,limonox_L_blob_644,605,645,1808,-0.32855597,0.580617306,NA,0.699658247,0.553105304,0.614723873,0.526357837,0.464412466,-0.027256408,0.628336351,0.565185623,-0.220259234,0.992309655,NA,0,0.749720794,0.18355873,NYC,,,,,,,
1202_0046_blob_969,0.000371797,0.278838615,0.307475076,0.948021861,0.748202244,0.733358786,0.250224143,0.260470016,-0.065400699,-0.055007306,0.531816595,0.658285414,0.425724806,"beta-caryophyllinic acid, TMS",425,647,2038.235294,2060,"a-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",669,681,NA,C27H52N2O10Si3,648,limonox_S_blob_633,419,582,NA,0.169128869,0.733018019,NA,0.713277673,0.747600887,0.695273029,0.267579911,0.425543734,0.568505813,0.241425567,0.225581336,0.380610941,0.594864365,NA,-0.023547457,0.063643688,0.68382319,NYC,,,,,,,
1202_0046_blob_967,0.000427444,0.41474731,0.440725016,0.214971546,0.264528585,0.278638272,-0.198933018,0.398037911,0.065571118,-0.233304218,-0.252400167,-0.335987884,-0.512042449,mannosan,578,669,1710.97561,1706,"Pentanedioic acid, 2,3-bis[(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester, (R*,S*)-",754,891,NA,C17H40O6Si4,452,myrc_ox_L_blob_735,632,722,1703,0.792838693,-0.071403325,NA,0.364572481,0.15575384,0.541911673,0.342568101,0.535331492,0.829162234,0.470209003,0.305314197,0.904944478,0,NA,0.921661611,1,0.717370079,NYC,,,,,,,
1202_0046_blob_956,0.000576562,0.542293598,0.308386555,0.54734025,0.582756752,0.759197138,0.049701304,-0.144244986,-0.151782133,-0.033500667,0.333048013,0.576994654,0.298265179,MBTCA,532,568,1771.95122,1776,"Levoglucosan, 3TMS derivative",741,778,1694,C15H34O5Si3,378,myrc_ox_L_blob_628,610,669,1764,-0.164912892,0.675745672,NA,0.925257344,0.79483479,0.730495152,0.23079261,0.197918229,-0.027753137,0.071299764,0.188298884,0.000400475,0.293592346,NA,0.495044598,0.304114755,0.110216364,NYC,,,,,,,
1202_0046_blob_953,0.000109493,0.677435042,0.642232031,0.562213526,0.137370076,0.556416475,0.297113867,NA,NA,NA,NA,NA,NA,beta-nocaryophyllone aldehyde,442,484,1758.536585,1757,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",662,681,NA,C13H26BNO6Si,331,limonox_S_blob_691,743,803,1758,1,-1,NA,-1,0,-1,-1,-1,1,1,1,0,0,NA,0,0,1,NYC,,,,,,,
1202_0046_blob_951,0.000361288,-0.260221573,0.60488174,-0.775276651,-0.213490755,-0.169157319,-0.062453865,-0.086168483,-0.29635729,0.090320854,0.561238603,0.718398462,0.84420386,C27,846,850,2749.056604,2750,"Sulfurous acid, butyl tetradecyl ester",832,871,NA,C18H38O3S,334,limonox_S_blob_789,0,576,1613,-0.163365633,0.757140233,NA,0.617473304,0.775511501,0.601949737,0.046196872,0.063134117,-0.120334379,-0.074871716,0.107021749,-0.159624705,-0.093504343,NA,-0.059661595,0.142038442,0.082721041,NYC,,,,,,,
1202_0046_blob_948,0.000349955,0.300556543,0.260637654,0.182060496,-0.041109254,0.14505667,-0.150442751,-0.380992,-0.103246418,0.235909441,-0.090602645,0.504239642,0.356750209,pentadecanone,538,604,1729.268293,1726,"1-Hexadecanol, 2-methyl-",669,699,NA,C17H36O,256,limonox_L_blob_682,552,586,1730,-0.48017694,0.74014921,NA,0.554163686,0.511052083,0.614621535,0.388462731,0.302694299,-0.367253964,0.157908716,0.021720891,-0.375979224,0,NA,-1,0,-0.002902733,NYC,,,,,,,
1202_0046_blob_938,0.001063453,0.34593962,0.267861824,0.321771649,0.514699854,0.519656419,0.028885354,0.616055214,0.536446696,0.922967161,0.576144911,0.766724681,0.746898017,C7 acid,427,605,1878.378378,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",701,720,NA,C14H31BO6Si2,362,limonox_S_blob_649,592,664,1868,0.662055057,0.863844124,NA,0.744520401,0.671837609,0.891755762,0.721862381,0.775279221,0.667826229,0.344187311,0.528371098,0.669165505,0,NA,0,1,0.645695492,NYC,,,,,,,
1202_0046_blob_928,0.000392375,0.180656928,0.314483768,0.412479335,-0.241682324,0.140985099,-0.256332291,-0.01310296,-0.348029423,0.026543548,0.638783497,0.916770208,0.667527348,vanillic acid,524,560,1791.463415,1789,"Bicyclo[5.3.0]decan-2-one, 9-(1-phenyl-1-trimethylsilylmethylene)-",700,743,NA,C20H28OSi,312,apin_ox_S_blob_708,501,693,1784,-0.027728208,0.934977583,NA,0.877650445,0.915202079,0.68356041,0.150768126,0.185638185,0.059566705,-0.11143783,0.112041957,0.096668242,0.28769631,NA,0,0.128589524,0.202859599,NYC,,,,,,,
1202_0046_blob_924,1.04E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C31,595,889,3193.478261,3159,2-methyloctacosane,857,875,NA,C29H60,408,limonox_S_blob_789,0,583,1613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1202_0046_blob_891,0.000895374,0.449135698,0.149874893,0.566496177,0.671309792,0.675538651,0.223387176,0.680507644,0.370972653,-0.13462892,0.305677244,0.069049528,-0.033191792,C7 acid,444,596,1810.810811,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",711,775,NA,C13H26BNO6Si,331,limonox_S_blob_875,607,698,1823,0.586538992,0.620671911,NA,0.729149355,0.484201114,0.736510862,0.469961818,0.665195906,0.783645044,0.562151393,0.623242471,0.624424816,0,NA,0,0.985485236,0.640706758,NYC,,,,,,,
1202_0046_blob_889,0.000565975,0.657432131,0.313054908,0.711406733,0.155036061,0.622005885,0.015992566,0.418242946,0.369157915,0.37376145,0.124375952,0.064495974,-0.031994087,farnesol,568,643,1836.486486,1832,"ﬂ-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",684,685,NA,C27H52N2O10Si3,648,limonox_S_blob_754,629,662,1831,0.733819186,0.162053881,NA,0.109389873,0.134590778,0.574312279,0.498294206,0.645073217,0.715363237,0.492935915,0.399901587,0.713022093,0.052315048,NA,0.872341188,0.74819114,0.727826131,NYC,,,,,,,
1202_0046_blob_879,7.22E-05,0.819173088,0.295842812,0.112389802,-0.007453442,0.305351204,-0.302109498,0.964649966,-0.767153779,-0.862762106,-0.765360237,0.126245927,-0.939694276,C7 acid,403,530,1874.324324,NA,"a-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",657,687,NA,C14H31BO6Si2,362,limonox_S_blob_649,559,597,1868,0.505401931,0.272694323,NA,0.162725914,0,0.22656406,0.378104926,0.48019693,0.978525879,0.080654755,-0.615643877,0.583488737,0,NA,0,0,0.327371753,NYC,,,,,,,
1202_0046_blob_865,3.12E-05,0.609146099,-0.920188215,0.171632393,-0.800481214,0.646002315,-0.38668656,NA,NA,NA,NA,NA,NA,C7 acid,431,477,1858.108108,NA,"Dodecanoic acid, tricosafluoro-",546,638,NA,C12HF23O2,614,apin_ox_S_blob_751,484,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1202_0046_blob_856,0.000365277,0.840266933,0.492837002,0.566979825,0.228348411,0.645771557,0.043503478,0.489881857,0.501362702,0.02620852,0.126050975,0.276775576,0.008786737,"beta-caryophyllonic acid, TMS",564,673,1944.594595,1931,"10,12-Docosadiynedioic acid, 2TMS derivative",674,682,NA,C28H50O4Si2,506,bcp_ox_L_blob_890,615,655,1947,0.456896557,0.491195895,NA,0.689229248,0.646216883,0.912578894,0.683667926,0.756131257,0.617709708,0.785809329,0.456371976,0.533309621,0,NA,-1,0.892251874,0.844503468,NYC,,,,,,,
1202_0046_blob_839,0.000228052,0.631418949,0.26286204,0.693599412,0.035146701,0.489958002,0.061891292,0.949530074,0.778830227,0.602711691,0.952274564,0.272606925,0.601319277,C7 acid,416,580,1847.297297,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",660,675,NA,C13H26BNO6Si,331,limonox_L_blob_611,592,656,1835,0.990340409,0.652969374,NA,0.465615887,0.084442241,0.659413849,0.650253737,0.857814872,0.98521898,0.806305546,0.849480907,0.957996215,0,NA,0,0.997958174,0.35331316,A,,,,,,,
1202_0046_blob_833,0.000785108,0.485135171,0.423559927,0.514999884,0.072205076,0.437354068,-0.097499033,-0.105964022,-0.171699985,0.008597856,0.562684806,0.700111858,0.4850958,mannosan,640,665,1709.756098,1706,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",707,717,NA,C16H37BO6Si3,420,myrc_ox_L_blob_709,663,703,1709,-0.056496888,0.804661049,NA,0.91302631,0.82750594,0.817086735,0.105815982,0.173211618,0.330249615,0.126919876,0.476244064,0.165716518,0.424115624,NA,0.597106167,0.122569255,0.422234045,NYC,,,,,,,
1202_0046_blob_817,0.000611797,-0.15009156,-0.051055805,0.420271231,0.148914158,0.284884293,0.353056373,-0.403116421,-0.582205156,0.652590092,0.565081656,0.602467474,0.531452998,syringaldehyde,748,818,1725.609756,1726,"Syringaldehyde, TMS derivative",756,832,1658,C12H18O4Si,254,limonox_S_blob_593,482,504,1732,0.697394322,0.745016396,NA,0.839572981,0.893108593,0.673255271,-0.149034253,0.040795557,-0.027951691,-0.110193141,0.427318343,1,0,NA,0,0.492451364,-0.094211508,NYC,,,,,,,
1202_0046_blob_743,0.003383189,0.632190747,0.376417255,0.418772679,0.486069571,0.69068176,0.127708956,-0.089940247,-0.298445933,0.036508863,0.596774809,0.820906709,0.558988967,C7 acid,472,587,1618.292683,NA,"Methyl a-D-glucofuranoside, 4TMS derivative",699,749,NA,C19H46O6Si4,482,myrc_ox_L_blob_613,624,670,1627,-0.1001314,0.890560651,NA,0.930041836,0.830530005,0.748445327,0.015760392,0.037694552,-0.095033176,-0.081021709,0.001249573,-0.097346007,0.108111618,NA,0.076389802,0.127745502,-0.04000677,BB,,H,,BB,,M,due to tracers and PMF matches from both IOP1 and 2
1202_0046_blob_647,0.000589981,0.475345217,0.153762558,0.669144285,0.144012663,0.463402757,-0.287006807,0.463396846,0.391856196,-0.338988791,-0.171928159,0.369935901,-0.324497655,C7 acid,442,547,1724.390244,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",656,670,NA,C13H26BNO6Si,331,limonox_S_blob_775,766,821,1722,0.340719371,0.554381391,NA,0.774834548,0.853493245,0.860629655,0.678627975,0.725478473,0.482371355,0.794097127,0.316332593,0.635863552,0,NA,0.743503575,0,0.866488061,NYC,,,,,,,
