"","Compound.Name","assigned_cluster_1","anthro_influenced_1","influence_type_1","notes_1","assigned_cluster_2","anthro_influenced_2","influence_type_2","notes_2","ES_Comp_Name","Tracer_key","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Compound.Name_chamber","Library.Match.Factor_chamber","cumsum_ISrawnorm","vol_frac_1","vol_frac_2"
"682","1202_1412_blob_954",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",NA,NA,NA,NA,NA,NA,"1,2-Benzenedicarboxylic acid",911,"bcp_ox_L_blob_714",327,4.88383642741455e-05,0.043048536918008,NA
"683","1202_1412_blob_944",10,TRUE,"BB","Levoglucosan here",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"a-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",696,"apin_ox_L_blob_532",578,6.44097932469949e-05,0.10139608802959,0.117693231121791
"684","1202_1412_blob_937",6,TRUE,"BB",NA,6,FALSE,NA,"no strong corr with anything, a tiny bit with IEPOX",NA,NA,"10,12,14-Nonacosatriynoic acid",669,"limonox_S_blob_847",603,1.63779224604411e-05,0.0231549757315948,0.0254276438988571
"685","1202_1412_blob_930",11,TRUE,"UP","Phthalic acid here; also some bb influence",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",749,"limonox_S_blob_725",706,0.000139522463690421,0.172096192979959,0.117693231121791
"686","1202_1412_blob_924",11,TRUE,"UP","Phthalic acid here; also some bb influence",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",624,"myrc_ox_L_blob_754",662,0.000376459873697583,0.172096192979959,0.117693231121791
"687","1202_1412_blob_920",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,6-bis-O-(trimethylsilyl)-, cyclic methylboronate",708,"myrc_ox_L_blob_687",666,0.000167959384128603,0.172096192979959,0.230717631063636
"688","1202_1412_blob_910",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"i-Propyl 12-methyl-tridecanoate",670,"limonox_S_blob_823",600,8.11549063283916e-05,0.043048536918008,0.230717631063636
"689","1202_1412_blob_908",11,TRUE,"UP","Phthalic acid here; also some bb influence",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",681,"limonox_S_blob_823",588,9.97266941350455e-05,0.172096192979959,0.117693231121791
"690","1202_1412_blob_901",11,TRUE,"UP","Phthalic acid here; also some bb influence",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"a-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",626,"apin_ox_L_blob_532",640,7.37354102644146e-05,0.172096192979959,0.117693231121791
"691","1202_1412_blob_895",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",773,"limonox_L_blob_589",601,0.000128155679414789,0.043048536918008,0.230717631063636
"692","1202_1412_blob_889",13,TRUE,"UP",NA,NA,NA,NA,NA,NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",657,"limonox_S_blob_847",520,2.54358591143903e-06,0.0242284099717432,NA
"693","1202_1412_blob_888",11,TRUE,"UP","Phthalic acid here; also some bb influence",5,FALSE,NA,"only correlation is with MOBBOA but its really not strong",NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",759,"limonox_S_blob_847",626,0.000119514642894064,0.172096192979959,0.0424769087931355
"694","1202_1412_blob_887",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Galactopyranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,4-bis(butylboronate)",683,"limonox_S_blob_725",695,8.45605120224582e-05,0.043048536918008,0.230717631063636
"695","1202_1412_blob_884",11,TRUE,"UP","Phthalic acid here; also some bb influence",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"2-Isopropyl-3-ketobutyrate, bis(O-trimethylsilyl)-",652,"myrc_ox_L_blob_709",655,0.000877946035188294,0.172096192979959,0.117693231121791
"696","1202_1412_blob_881",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",731,"limonox_S_blob_754",686,0.000133466291354296,0.172096192979959,0.230717631063636
"697","1202_1412_blob_863",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"cis-1,4-Cyclohexanedicarboxylic acid, bis(trimethylsilyl) ester",657,"myrc_ox_L_blob_649",607,0.000240766172868658,0.172096192979959,0.230717631063636
"698","1202_1412_blob_844",6,TRUE,"BB",NA,7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",751,"limonox_S_blob_671",622,0.000174056404112648,0.0231549757315948,0.117693231121791
"699","1202_1412_blob_817",10,TRUE,"BB","Levoglucosan here",4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"1,2-Ethanediol, 1,2-dimyrtenyl-, 2TMS derivative",583,"bcp_ox_L_blob_678",495,0.000833106547609613,0.10139608802959,0.525616925600794
"700","1202_1412_blob_808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-Hexadecanol, 2-methyl-",665,"apin_ox_S_blob_751",415,NA,NA,NA
"701","1202_1412_blob_804",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"Trimethylsilyl 3,5-bis(trimethylsilyloxy)-3-methylvalerate",707,"myrc_ox_L_blob_613",617,0.000603909785959882,0.172096192979959,0.230717631063636
"702","1202_1412_blob_794",11,TRUE,"UP","Phthalic acid here; also some bb influence",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",689,"limonox_S_blob_671",613,0.000310219405894438,0.172096192979959,0.117693231121791
"703","1202_1412_blob_785",11,TRUE,"UP","Phthalic acid here; also some bb influence",1,FALSE,NA,"some anthro influence and IEPOX but none strong",NA,NA,"Bicyclo[2.2.1]heptane-1-carboxylic acid, 7-[(trimethylsilyl)oxy]-, methyl ester",613,"apin_ox_S_blob_633",751,0.00012269140548671,0.172096192979959,0.0205401784224247
"704","1202_1412_blob_782",8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",736,"myrc_ox_L_blob_687",619,0.000203582143671964,0.0633705834493537,0.117693231121791
"705","1202_1412_blob_767",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"Benzeneacetic acid, a-(7-t-butyldimethylsilyloxyheptanoyloxy)-, methyl ester",622,"limonox_L_blob_564",694,4.99257414426686e-05,0.043048536918008,0.117693231121791
"706","1202_1412_blob_766",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",NA,NA,NA,NA,"beta-nocaryophyllone aldehyde","SQT2","2-Butyloxycarbonyloxy-1,1,10-trimethyl-6,9-epidioxydecalin",664,"bcp_ox_L_blob_69",631,3.26868009767899e-05,0.043048536918008,NA
"707","1202_1412_blob_763",11,TRUE,"UP","Phthalic acid here; also some bb influence",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"2-Hydroxyundecanoic acid, trimethylsilyl ether, trimethylsilyl ester",654,"limonox_L_blob_620",713,0.0010228730328954,0.172096192979959,0.117693231121791
"708","1202_1412_blob_756",13,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"5-(2-Hydroxy-1-methylethyl)-2-methylcyclohexanone, TBDMS derivative",630,"apin_ox_S_blob_633",789,6.8801324482137e-05,0.0242284099717432,0.230717631063636
"709","1202_1412_blob_754",10,TRUE,"BB","Levoglucosan here",4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"a-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",718,"apin_ox_L_blob_553",616,0.0044367268472362,0.10139608802959,0.525616925600794
"710","1202_1412_blob_751",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",620,"myrc_ox_L_blob_687",549,5.00740528187549e-05,0.172096192979959,0.230717631063636
"711","1202_1412_blob_738",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"a-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",672,"limonox_S_blob_725",634,0.000252661015459462,0.0466785412509809,0.117693231121791
"712","1202_1412_blob_734",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",711,"myrc_ox_L_blob_546",683,0.000336864902264684,0.172096192979959,0.230717631063636
"713","1202_1412_blob_729",13,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",695,"limonox_S_blob_649",612,0.00023376691529545,0.0242284099717432,0.230717631063636
"714","1202_1412_blob_690",6,TRUE,"BB",NA,1,FALSE,NA,"some anthro influence and IEPOX but none strong",NA,NA,"1-(4-((tert-Butyldimethylsilyl)oxy)-3,5-dimethoxyphenyl)ethanone",688,"limonox_L_blob_547",495,4.36503744687933e-05,0.0231549757315948,0.0205401784224247
"715","1202_1412_blob_667",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"Tartaric acid (2R,3R)-, 3TMS derivative",679,"limonox_S_blob_649",611,0.000258067135820547,0.043048536918008,0.117693231121791
"716","1202_1412_blob_665",6,TRUE,"BB",NA,5,FALSE,NA,"only correlation is with MOBBOA but its really not strong",NA,NA,"Xanthoxylin",828,"limonox_S_blob_923",390,6.70486474616713e-05,0.0231549757315948,0.0424769087931355
"717","1202_1412_blob_658",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",NA,NA,NA,NA,NA,NA,"Butanedioic acid, 2TMS derivative",921,"apin_ox_L_blob_1",923,0.000158903438473203,0.043048536918008,NA
"718","1202_1412_blob_656",6,TRUE,"BB",NA,10,TRUE,"BB","only correlations are ams HC and BB tracer",NA,NA,"Palmitelaidic acid, TMS derivative",578,"bcp_ox_L_blob_813",497,0.00144541746963875,0.0231549757315948,0.00618291618211408
"719","1202_1412_blob_642",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",7,FALSE,NA,"Strong IEPOX and LOOOA connections","C13 acid",NA,"10,12-Docosadiynedioic acid, 2TMS derivative",656,"myrc_ox_L_blob_727",612,0.00095698320215508,0.043048536918008,0.117693231121791
"720","1202_1412_blob_635",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"ﬂ-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",666,"limonox_S_blob_649",585,0.000258435254258772,0.172096192979959,0.230717631063636
"721","1202_1412_blob_628",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"Methyl a-Arabinofuranoside, 3TMS derivative",662,"myrc_ox_L_blob_630",614,0.000501676464539486,0.172096192979959,0.230717631063636
"722","1202_1412_blob_615",10,TRUE,"BB","Levoglucosan here",NA,NA,NA,NA,NA,NA,"ﬂ-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",615,"apin_ox_S_blob_590",480,6.35228196394197e-05,0.10139608802959,NA
"723","1202_1412_blob_608",5,FALSE,NA,"IEPOX and LOOOA",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"Isoxazolo[2,3-b]benz[1,2]oxazine, perhydro-2-methoxycarbonyl-10-methyl-5a-trimethylsilyloxy-",626,"apin_ox_L_blob_523",823,0.000321337534442177,0.020926692898477,0.117693231121791
"724","1202_1412_blob_602",10,TRUE,"BB","Levoglucosan here",NA,NA,NA,NA,NA,NA,"2-Keto-3-methylvaleric acid eo-tms pk1",569,"myrc_ox_L_blob_562",494,0.000178872973308183,0.10139608802959,NA
"725","1202_1412_blob_601",11,TRUE,"UP","Phthalic acid here; also some bb influence",4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"ﬂ-Arabinopyranose, 4MS derivative",749,"apin_ox_L_blob_553",577,0.00326989545612502,0.172096192979959,0.525616925600794
"726","1202_1412_blob_6",9,FALSE,NA,"some amd HC and BB but none strong",5,FALSE,NA,"only correlation is with MOBBOA but its really not strong",NA,NA,"Phthalic acid, butyl 3-methylbutyl ester",881,"limonox_S_blob_633",226,0.0436307259052626,0.348714464682746,0.0424769087931355
"727","1202_1412_blob_589",13,TRUE,"UP",NA,5,FALSE,NA,"only correlation is with MOBBOA but its really not strong",NA,NA,"Cyclopropane, 1-acetyl-2-methylene-1-trimethylsilyl-",594,"limonox_L_blob_578",841,4.27419019231025e-05,0.0242284099717432,0.0424769087931355
"728","1202_1412_blob_573",12,TRUE,"UP",NA,7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,"ISOP2","Propanetriol, 2-methyl-, tris-O-(trimethylsilyl)-",755,"myrc_ox_L_blob_584",495,0.00245399176293106,0.0649182550729844,0.117693231121791
"729","1202_1412_blob_5",9,FALSE,NA,"some amd HC and BB but none strong",6,FALSE,NA,"no strong corr with anything, a tiny bit with IEPOX",NA,NA,"Phthalic acid, butyl isohexyl ester",886,"bcp_ox_L_blob_650",353,0.0195252243106525,0.348714464682746,0.0254276438988571
"730","1202_1412_blob_41",9,FALSE,NA,"some amd HC and BB but none strong",5,FALSE,NA,"only correlation is with MOBBOA but its really not strong",NA,NA,"Phthalic acid, 2-methylbutyl propyl ester",898,"limonox_S_blob_757",264,0.00255511922325162,0.348714464682746,0.0424769087931355
"731","1202_1412_blob_2104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Octadecanoic acid, 4-hydroxy-, methyl ester",545,"limonox_S_blob_701",374,NA,NA,NA
"732","1202_1412_blob_2061",8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",NA,NA,NA,NA,NA,NA,"a-d-Glucopyranoside, methyl 2,3,4-tris-O-(trimethylsilyl)-, hexadecanoate",670,"limonox_S_blob_633",408,9.7146578102287e-07,0.0633705834493537,NA
"733","1202_1412_blob_1979",10,TRUE,"BB","Levoglucosan here",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",621,"apin_ox_S_blob_751",436,1.38258464533066e-05,0.10139608802959,NA
"734","1202_1412_blob_1969",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",NA,NA,NA,NA,NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic butylboronate",692,"limonox_S_blob_701",423,1.16315149482587e-05,0.043048536918008,NA
"735","1202_1412_blob_1940",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",619,"limonox_S_blob_701",442,6.40672663304017e-06,0.043048536918008,NA
"736","1202_1412_blob_1933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a-D-Galactopyranoside, methyl 2,6-bis-O-(trimethylsilyl)-, cyclic butylboronate",679,"limonox_S_blob_687",450,NA,NA,NA
"737","1202_1412_blob_1905",9,FALSE,NA,"some amd HC and BB but none strong",NA,NA,NA,NA,NA,NA,"3-Hydroxy-2,5,5,8a-tetramethyl-3,4,4a,5,6,7,8,8a-octahydronaphthalene-1-carboxylic acid, 2-trimethylsilylethyl ester",569,"limonox_S_blob_633",381,1.22330503649156e-06,0.348714464682746,NA
"738","1202_1412_blob_1902",6,TRUE,"BB",NA,NA,NA,NA,NA,NA,NA,"4-hydroxytestosterone",618,"limonox_S_blob_687",396,1.91807006367946e-05,0.0231549757315948,NA
"739","1202_1412_blob_1898",11,TRUE,"UP","Phthalic acid here; also some bb influence",NA,NA,NA,NA,NA,NA,"Acetamide, N-[2-(3-ethyl-1-methyl-9H-carbazol-2-yl)ethyl]-N-methyl-",557,"limonox_S_blob_687",410,5.72494063561732e-06,0.172096192979959,NA
"740","1202_1412_blob_1884",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",681,"limonox_S_blob_687",470,1.45631140210059e-05,0.043048536918008,NA
"741","1202_1412_blob_1870",11,TRUE,"UP","Phthalic acid here; also some bb influence",NA,NA,NA,NA,NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,6-bis-O-(trimethylsilyl)-, cyclic butylboronate",650,"limonox_S_blob_687",439,3.3091775392873e-06,0.172096192979959,NA
"742","1202_1412_blob_1860",11,TRUE,"UP","Phthalic acid here; also some bb influence",NA,NA,NA,NA,NA,NA,"ﬂ-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",564,"limonox_S_blob_687",413,1.41889309505445e-05,0.172096192979959,NA
"743","1202_1412_blob_1846",12,TRUE,"UP",NA,NA,NA,NA,NA,NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",663,"limonox_S_blob_905",511,1.75306931773126e-06,0.0649182550729844,NA
"744","1202_1412_blob_1819",13,TRUE,"UP",NA,NA,NA,NA,NA,NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",681,"limonox_S_blob_687",451,7.73484830056832e-06,0.0242284099717432,NA
"745","1202_1412_blob_1814",6,TRUE,"BB",NA,NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",668,"apin_ox_S_blob_592",464,9.7976970621265e-06,0.0231549757315948,NA
"746","1202_1412_blob_1807",10,TRUE,"BB","Levoglucosan here",NA,NA,NA,NA,NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,6-bis-O-(trimethylsilyl)-, cyclic methylboronate",658,"limonox_S_blob_687",432,1.87460264703679e-06,0.10139608802959,NA
"747","1202_1412_blob_1797",NA,NA,NA,NA,6,FALSE,NA,"no strong corr with anything, a tiny bit with IEPOX",NA,NA,"Octadecane, 3-ethyl-5-(2-ethylbutyl)-",752,"limonox_S_blob_701",336,1.45437694548479e-05,NA,0.0254276438988571
"748","1202_1412_blob_1794",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",NA,NA,NA,NA,NA,NA,"ﬂ-N-Acetylneuraminic acid, methyl ester-2-methyl-7,9-methyl-boronate-3,8-di(trimethylsilyl)-",677,"limonox_S_blob_687",419,2.54614035813955e-05,0.043048536918008,NA
"749","1202_1412_blob_1780",10,TRUE,"BB","Levoglucosan here",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",673,"limonox_S_blob_701",413,2.64917032508777e-05,0.10139608802959,NA
"750","1202_1412_blob_1773",13,TRUE,"UP",NA,NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",691,"limonox_S_blob_687",456,6.21313785725659e-06,0.0242284099717432,NA
"751","1202_1412_blob_1756",10,TRUE,"BB","Levoglucosan here",NA,NA,NA,NA,NA,NA,"Heptadecanoic acid, 9-methyl-, methyl ester",579,"limonox_S_blob_687",433,3.36897297390805e-06,0.10139608802959,NA
"752","1202_1412_blob_1751",10,TRUE,"BB","Levoglucosan here",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",701,"limonox_S_blob_701",386,1.07981308033839e-05,0.10139608802959,NA
"753","1202_1412_blob_1738",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"Citric acid, 3TMS derivative",645,"limonox_L_blob_667",650,5.31989782412385e-05,0.043048536918008,0.230717631063636
"754","1202_1412_blob_1735",6,TRUE,"BB",NA,NA,NA,NA,NA,NA,NA,"1-Methylcyclohexylcarboxylic acid, TBDMS derivative",638,"limonox_S_blob_966",622,1.79358337141878e-05,0.0231549757315948,NA
"755","1202_1412_blob_1732",10,TRUE,"BB","Levoglucosan here",NA,NA,NA,NA,NA,NA,"13-Retinoic acid, (Z)-, TMS derivative",620,"limonox_S_blob_687",433,4.54086664081249e-06,0.10139608802959,NA
"756","1202_1412_blob_1709",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"a-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic phenylboronate",600,"limonox_S_blob_687",434,7.26695998819972e-06,0.0466785412509809,NA
"757","1202_1412_blob_1696",11,TRUE,"UP","Phthalic acid here; also some bb influence",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",663,"limonox_S_blob_687",411,1.42692768350798e-05,0.172096192979959,NA
"758","1202_1412_blob_1671",12,TRUE,"UP",NA,NA,NA,NA,NA,NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",577,"limonox_S_blob_1216",504,2.22363472705799e-05,0.0649182550729844,NA
"759","1202_1412_blob_1661",4,FALSE,NA,"some HC influence but not clear",NA,NA,NA,NA,NA,NA,"t-Butyl-(2-[3-(2,2-dimethyl-6-methylene-cyclohexyl)-propyl]-[1,3]dithian-2-yl)-dimethyl-silane",602,"bcp_ox_L_blob_1289",447,1.06666062098702e-05,0.0339718247071164,NA
"760","1202_1412_blob_1653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Androst-5-ene-3,17,19-triol",575,"limonox_S_blob_687",380,NA,NA,NA
"761","1202_1412_blob_1650",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",709,"limonox_S_blob_687",471,1.08018762730739e-05,0.043048536918008,NA
"762","1202_1412_blob_1647",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",683,"limonox_S_blob_687",445,1.6427059867562e-05,0.043048536918008,NA
"763","1202_1412_blob_1638",5,FALSE,NA,"IEPOX and LOOOA",1,FALSE,NA,"some anthro influence and IEPOX but none strong",NA,NA,"9-Trimethylsilyloxydecanoic acid, trimethylsilyl ester",645,"limonox_S_blob_687",479,1.32147969196156e-05,0.020926692898477,0.0205401784224247
"764","1202_1412_blob_1614",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",NA,NA,NA,NA,NA,NA,"ﬂ-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",674,"limonox_S_blob_687",416,9.04099705007894e-06,0.043048536918008,NA
"765","1202_1412_blob_1607",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",734,"limonox_S_blob_687",466,3.05203499941344e-05,0.043048536918008,NA
"766","1202_1412_blob_1598",10,TRUE,"BB","Levoglucosan here",NA,NA,NA,NA,NA,NA,"3-Hydroxy-2,5,5,8a-tetramethyl-3,4,4a,5,6,7,8,8a-octahydronaphthalene-1-carboxylic acid, 2-trimethylsilylethyl ester",626,"limonox_S_blob_701",464,2.18318397894817e-05,0.10139608802959,NA
"767","1202_1412_blob_1594",10,TRUE,"BB","Levoglucosan here",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",691,"limonox_S_blob_687",446,1.4201144567283e-05,0.10139608802959,NA
"768","1202_1412_blob_1590",11,TRUE,"UP","Phthalic acid here; also some bb influence",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",664,"limonox_S_blob_685",553,2.29439727234728e-05,0.172096192979959,NA
"769","1202_1412_blob_1589",6,TRUE,"BB",NA,NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",674,"limonox_S_blob_687",454,1.39599994400702e-05,0.0231549757315948,NA
"770","1202_1412_blob_1585",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",NA,NA,NA,NA,NA,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",628,"myrc_ox_L_blob_560",622,8.92751895609053e-06,0.043048536918008,NA
"771","1202_1412_blob_1579",12,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,6-bis-O-(trimethylsilyl)-, cyclic methylboronate",648,"apin_ox_S_blob_592",448,1.10498019694155e-05,0.0649182550729844,0.230717631063636
